method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
A3-only,21000,29,45400.87592806088,44397.825651112486,46396.70977354313
A3-only,21600,30,45318.31488127682,44467.177868166,46124.399355991656
A3-only,22200,30,45318.31488127682,44325.265580277126,46089.01591054209
A3-only,22800,30,45296.652322702066,44325.265580277126,45970.56716971795
A3-only,23400,30,45211.63064789142,44325.265580277126,45969.21941640212
A3-only,24000,30,45186.34037521407,44278.09089256326,45935.553928209556
A3-only,24600,30,45090.526188810836,44238.742099922856,45780.00894523354
A3-only,25200,30,45022.04603828031,44218.28903095285,45780.00894523354
A3-only,25800,30,44937.82042099681,44218.28903095285,45691.11251826831
A3-only,26400,30,44829.76831008724,44174.47633616144,45691.11251826831
A3-only,27000,30,44829.76831008724,44130.35139424019,45663.34125398611
A3-only,27600,30,44778.131409845955,44020.279233790316,45632.09968997619
A3-only,28200,30,44761.20668750565,43978.93372063547,45620.418049293265
A3-only,28800,30,44761.20668750565,43894.57003937879,45551.965489016315
A3-only,29400,30,44669.69291498572,43823.97691032613,45500.080944566864
A3-only,30000,30,44606.21290046685,43815.60331257315,45230.07965831557
A3-only,30600,30,44592.84275902038,43803.89336455353,45181.296322417904
A3-only,31200,30,44556.09427323326,43788.230869949235,45181.296322417904
A3-only,31800,30,44545.56707351057,43779.79417394937,45179.80776695323
A3-only,32400,30,44521.50435274026,43779.79417394937,45179.80776695323
A3-only,33000,30,44396.52945300401,43604.99769272419,45165.259056791605
A3-only,33600,30,44310.9580183754,43576.156227494204,45113.28510957259
A3-only,34200,30,44298.80777961013,43576.156227494204,45073.09564889924
A3-only,34800,30,44298.80777961013,43546.8056465159,45073.09564889924
A3-only,35400,30,44221.69176679707,43524.69169119392,45059.07383822084
A3-only,36000,30,44212.46794216565,43513.40316775936,45059.07383822084
A3-only,36600,30,44212.46794216565,43454.34511931703,45059.07383822084
A3-only,37200,30,44212.46794216565,43454.34511931703,44773.51466583493
A3-only,37800,30,44195.444353022795,43436.61256531077,44715.34851669247
A3-only,38400,30,44135.598819051345,43434.44498862578,44633.112539430425
A3-only,39000,30,44004.2479302414,43377.33784199538,44560.15004316438
A3-only,39600,30,44004.2479302414,43337.10592330557,44560.15004316438
A3-only,40200,30,43859.97395437599,43325.05260172019,44543.17766821611
A3-only,40800,30,43839.42434120209,43325.05260172019,44534.13003123764
A3-only,41400,30,43813.63266918315,43311.83859782893,44504.95497289214
A3-only,42000,30,43791.03893706296,43291.19672974395,44423.53916209375
A3-only,42600,30,43719.20669277408,43276.02814390931,44408.82499530746
A3-only,43200,30,43719.20669277408,43271.23490257215,44387.53354190888
A3-only,43800,30,43696.33486667405,43243.767179064904,44387.53354190888
A3-only,44400,30,43615.09688369604,43239.913931313895,44387.53354190888
A3-only,45000,30,43581.24390832368,43223.15259191187,44383.14234270186
A3-only,45600,30,43560.493614926934,43223.147765969865,44358.182338485494
A3-only,46200,30,43560.493614926934,43183.49948699078,44358.182338485494
A3-only,46800,30,43560.493614926934,43183.49948699078,44257.19981040186
A3-only,47400,30,43541.576695182914,43183.49948699078,44240.46884988819
A3-only,48000,30,43539.88833748931,43180.69188962961,44240.46884988819
A3-only,48600,30,43492.843299183034,43175.001198577396,44209.965303923804
A3-only,49200,30,43492.843299183034,43155.339532179925,44209.965303923804
A3-only,49800,30,43462.39500429623,43154.26477237554,44209.965303923804
A3-only,50400,30,43427.27018262022,43152.23418527104,44072.73835348889
A3-only,51000,30,43378.36052765737,43152.23418527104,44012.987737218704
A3-only,51600,30,43378.36052765737,43140.49068356024,44012.987737218704
A3-only,52200,30,43312.45252298915,43138.221970252285,43978.68140730381
A3-only,52800,30,43299.942061766065,43138.221970252285,43961.34562936057
A3-only,53400,30,43299.942061766065,43120.14860157075,43956.38066476972
A3-only,54000,30,43284.616484523096,43120.14860157075,43956.38066476972
A3-only,54600,30,43247.16007699579,43102.05518261257,43931.76402820617
A3-only,55200,30,43231.9494301731,43094.63578470225,43806.96276785074
A3-only,55800,30,43231.9494301731,43093.269421922625,43806.96276785074
A3-only,56400,30,43207.29743745789,43083.49118434414,43538.61544190222
A3-only,57000,30,43207.29743745789,43060.07846011547,43529.947811846236
A3-only,57600,30,43207.29743745789,43045.806933828295,43511.82442022998
A3-only,58200,30,43162.684512471606,43042.66534290076,43434.63939074034
A3-only,58800,30,43162.51495665447,43033.60595757533,43428.058097776564
A3-only,59400,30,43142.55312596707,43022.54069170993,43402.82229618949
A3-only,60000,30,43121.37846085035,43020.765382472746,43396.551239266264
A3-only,60600,30,43083.38275437376,42994.3457088831,43369.51970196287
A3-only,61200,30,43078.28691468673,42994.3457088831,43365.0472431338
A3-only,61800,30,43070.82052439743,42988.070314368655,43346.82775500481
A3-only,62400,30,43048.856062857536,42988.070314368655,43346.82775500481
A3-only,63000,30,43048.856062857536,42987.937539037615,43346.08672221797
A3-only,63600,30,43048.48421139823,42987.937539037615,43333.34533156077
A3-only,64200,30,43047.36395984019,42987.937539037615,43333.34533156077
A3-only,64800,30,43025.74267504088,42981.21922318882,43273.24092608025
A3-only,65400,30,43020.46070270925,42971.37170144603,43272.255205186564
A3-only,66000,30,43019.43005157803,42959.9430074641,43255.376461824366
A3-only,66600,30,43016.820361385195,42959.63501857156,43246.5892564327
A3-only,67200,30,43001.18756425636,42948.108428290936,43242.41177716103
A3-only,67800,30,43001.18756425636,42948.088669097815,43198.52148186464
A3-only,68400,30,42988.738175490784,42935.59091805127,43198.52148186464
A3-only,69000,30,42988.738175490784,42935.59091805127,43184.977453729865
A3-only,69600,30,42986.69028338991,42931.17976610276,43176.831675114096
A3-only,70200,30,42978.14967037511,42898.74690527569,43174.07973849998
A3-only,70800,30,42958.219422853974,42883.28361722926,43167.34774214726
A3-only,71400,30,42950.142435421156,42859.81418849122,43164.6685201858
A3-only,72000,30,42950.142435421156,42845.46422179784,43148.13045337729
A3-only,72600,30,42950.142435421156,42842.906047038225,43148.13045337729
A3-only,73200,30,42950.142435421156,42841.87194371754,43141.10640105873
A3-only,73800,30,42934.652279211834,42821.86325816895,43138.80592383262
A3-only,74400,30,42933.737991106034,42820.94165760812,43136.68322156938
A3-only,75000,30,42923.61636582609,42820.227500331726,43136.68322156938
A3-only,75600,30,42905.7103799459,42800.23507686469,43085.290032617406
A3-only,76200,30,42905.7103799459,42798.42662164825,43085.290032617406
A3-only,76800,30,42898.815019990965,42797.60883886836,43085.290032617406
A3-only,77400,30,42886.28078960531,42797.60883886836,43063.72569917343
A3-only,78000,30,42884.373915195814,42794.23513257824,43032.42031217088
A3-only,78600,30,42884.373915195814,42791.43972163735,43032.42031217088
