strategy,fault_start_hour,hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,p_shed_mw,p_vital_shortfall_mw,balance_residual_mw
dynamic_reserve,11,13,10.2,2.6,3.5,10.83777588328768,2.8005490179683954,0.0,10.966057415931036,1.1344916020374012,3.249364314392577,0.0,0.0,4.440892098500626e-14
dynamic_reserve,11,14,11.3,2.8,4.2,10.14381121741903,2.296286936831751,0.0,11.00939083815885,1.1868960986729515,1.9999999999999964,0.0,0.0,4.796163466380676e-14
dynamic_reserve,14,14,11.3,2.8,4.2,10.14381121741903,2.296286936831751,0.0,10.459405284864399,1.7368816519673946,7.047770443952606,0.0,0.0,3.907985046680551e-14
dynamic_reserve,14,15,10.1,2.6,1.7,9.0928228940438,1.653936674376371,0.0,10.989198602139735,1.6647380722366647,5.295414578440328,0.0,0.0,2.842170943040401e-14
dynamic_reserve,14,16,9.2,2.3,1.65,9.868467170298054,2.1143251844301396,0.0,10.677058712640337,1.2872664717898274,3.9403972397141933,0.0,0.0,2.4868995751603507e-14
dynamic_reserve,14,17,9.6,2.4,1.15,9.893259073510345,2.1303002922269414,0.0,11.136922914498566,1.8433773777284086,2.000000000000079,0.0,0.0,3.375077994860476e-14
dynamic_reserve,17,17,9.6,2.4,1.15,9.893259073510345,2.1303002922269414,0.0,10.581231015887923,2.3990692763390715,6.402895356744143,0.0,0.0,5.3290705182007514e-14
dynamic_reserve,17,18,9.2,2.3,0.0,9.695756517931923,2.005246575745615,0.0,11.677143805532646,1.8281027702129944,4.4785766512567795,0.0,0.0,2.6645352591003757e-14
dynamic_reserve,17,19,8.9,2.3,0.0,10.016527048394737,2.2109258893315737,0.0,11.63445262181498,1.7764732675166215,2.608604790712967,0.0,0.0,2.842170943040401e-14
dynamic_reserve,17,20,6.8,1.7,0.0,10.735132635297385,2.721729275553414,0.0,10.643554724375502,0.5781745511779317,1.9999999999993543,0.0,0.0,1.9539925233402755e-14
dynamic_reserve,20,20,6.8,1.7,0.0,10.735132635297385,2.721729275553414,0.0,8.300951004376095,2.920778271177283,5.985064003237279,3.677613769070831e-14,0.0,1.7763568394002505e-15
dynamic_reserve,20,21,5.4,1.3,0.0,10.915914220445888,2.861561100870752,0.0,7.549509106344066,2.012051994526659,3.86711453531448,2.6978419498391304e-14,0.0,-1.7763568394002505e-15
dynamic_reserve,20,22,4.8,1.3,0.0,10.530332553674079,2.5689103045004895,0.0,7.145467903587309,1.5234424009131535,2.2634909554058975,2.5077162568720723e-14,0.0,-1.7763568394002505e-15
dynamic_reserve,20,23,2.8,0.7,0.0,10.892280411664514,2.843014801724675,0.0,6.092698394089063,0.2503164076355985,2.0000000000000044,1.2437099961015718e-14,0.0,0.0
