method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
Rule,137400,30,42587.70299575072,42549.23755977732,42717.42207104099
Rule,138000,30,42586.09152508384,42546.80046730257,42714.58480316478
Rule,138600,30,42584.11611582778,42542.43710232104,42711.85667231586
Rule,139200,30,42582.414688126875,42539.75986721163,42710.972944924
Rule,139800,30,42579.49139437873,42538.20888110778,42710.171033247534
Rule,140400,30,42577.807888443,42536.32989430592,42707.55618912967
Rule,141000,30,42577.28952311926,42534.996889236005,42707.55618912967
Rule,141600,30,42574.02552588623,42533.345326330265,42706.46887097475
Rule,142200,30,42572.56521579205,42529.325819257836,42704.94303450014
Rule,142800,30,42572.00298103271,42527.54326919404,42703.72558040563
Rule,143400,30,42570.25612494415,42524.78362538472,42702.23259738901
Rule,144000,30,42569.33289356359,42523.881036869345,42700.94509922165
Rule,144600,30,42568.09527720248,42523.27288112317,42700.17403031145
Rule,145200,30,42566.453991974464,42521.6635856987,42699.03905381943
Rule,145800,30,42565.34665625579,42520.024827745656,42697.80254160311
Rule,146400,30,42564.10562483111,42518.67352939379,42696.567513784816
Rule,147000,30,42562.464585362824,42516.99893690954,42694.33678449203
Rule,147600,30,42560.78059456915,42514.567940950175,42692.30365358427
Rule,148200,30,42558.15276281029,42511.96907856883,42689.85619900562
Rule,148800,30,42555.310137390436,42510.72894271676,42688.24763640397
Rule,149400,30,42553.56658479263,42508.13612274225,42685.869652921916
Rule,150000,30,42551.907784204195,42507.08802087819,42683.97483694042
Rule,150600,30,42551.0936784177,42506.09626550619,42682.524371250154
Rule,151200,30,42550.133710041504,42504.61357455907,42680.497637503606
Rule,151800,30,42548.42523606944,42503.08836924824,42678.83825821377
Rule,152400,30,42547.182714446855,42500.68550500774,42677.496823134206
Rule,153000,30,42546.86950724959,42498.28251138582,42675.408516643394
Rule,153600,30,42545.32364375247,42496.35341044841,42673.47218036266
Rule,154200,30,42543.438474008595,42494.08755420763,42670.38513838712
Rule,154800,30,42541.71193060053,42492.11628064088,42667.9224805182
Rule,155400,30,42540.23970371578,42491.18372793567,42666.54476003852
Rule,156000,30,42539.24085591408,42490.431010388056,42663.97362984385
Rule,156600,30,42538.43560792239,42490.17623877233,42661.483258844826
Rule,157200,30,42535.61631543425,42488.7664206512,42658.10392725648
Rule,157800,30,42534.75912256807,42488.03083680616,42654.89306982845
Rule,158400,30,42532.986085469995,42487.37796880802,42652.77006156552
Rule,159000,30,42532.43359377258,42486.733714984584,42650.388735687324
Rule,159600,30,42531.45504925832,42486.35098149732,42648.39540612715
Rule,160200,30,42530.68645728649,42485.975643441154,42646.56009292171
Rule,160800,30,42530.18298988858,42484.78033667569,42645.770221339975
