method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
UniformRandom,178200,30,42414.34185823305,42400.3992836738,42456.11087351795
UniformRandom,178800,30,42414.03895340675,42399.569456213685,42455.76109059702
UniformRandom,179400,30,42413.41739572879,42399.54249878093,42454.45426831064
UniformRandom,180000,30,42413.104875391364,42399.26800168205,42453.545733821666
UniformRandom,180600,30,42412.65795695271,42399.26800168205,42452.667293803075
UniformRandom,181200,30,42412.07176896947,42399.0036171525,42452.078704423126
UniformRandom,181800,30,42411.900566125616,42398.72668833965,42451.71423136638
UniformRandom,182400,30,42411.51697556507,42398.36242951341,42451.162574444126
UniformRandom,183000,30,42411.02949137417,42398.08095190246,42450.21895067899
UniformRandom,183600,30,42410.87612257593,42397.77680139024,42449.947805885895
UniformRandom,184200,30,42410.11709229137,42397.083005230634,42449.644890445794
UniformRandom,184800,30,42409.513111239925,42397.03821159631,42449.43999024033
UniformRandom,185400,30,42409.2605901502,42396.71141927584,42448.94559093799
UniformRandom,186000,30,42409.00566344218,42396.265315031385,42448.722603255315
UniformRandom,186600,30,42408.5383470956,42395.738492175384,42448.533668666736
UniformRandom,187200,30,42408.06899368641,42395.507761021814,42448.533668666736
UniformRandom,187800,30,42407.60051239766,42395.13499862975,42447.872814493574
UniformRandom,188400,30,42406.84930869893,42394.82103858133,42447.872814493574
UniformRandom,189000,30,42406.82369447655,42394.52951195893,42447.615454711224
UniformRandom,189600,30,42406.24021039925,42394.40644661476,42447.615454711224
UniformRandom,190200,30,42405.79895122463,42394.13125951824,42446.18098608043
UniformRandom,190800,30,42405.231834364095,42393.976969388204,42445.717350439
UniformRandom,191400,30,42404.94482889719,42393.47674963576,42445.717350439
UniformRandom,192000,30,42404.37762715397,42392.89581698258,42444.19474258717
UniformRandom,192600,30,42404.18760262373,42392.76243397352,42443.74900736404
UniformRandom,193200,30,42403.834183284984,42392.693407214705,42443.74900736404
UniformRandom,193800,30,42403.435158360124,42392.58012400445,42442.704631890316
UniformRandom,194400,30,42402.78302282377,42392.33259354883,42442.704631890316
UniformRandom,195000,30,42402.30757897375,42392.11406730709,42442.09107160119
UniformRandom,195600,30,42402.02378888617,42392.046794789145,42440.73174063841
UniformRandom,196200,30,42401.72761152429,42391.85194744328,42440.24943974609
UniformRandom,196800,30,42401.36828641726,42391.7252030354,42438.74085458791
UniformRandom,197400,30,42400.76795005812,42391.52333773362,42437.165602444285
UniformRandom,198000,30,42400.379469836626,42391.23493668642,42436.3662661245
UniformRandom,198600,30,42400.207955340855,42391.193767963705,42435.66883839936
UniformRandom,199200,30,42399.943125298494,42389.91746934572,42434.30401323177
UniformRandom,199800,30,42399.41369820109,42389.8064071594,42432.63735849026
UniformRandom,200400,30,42398.764117211314,42389.78387475491,42431.42262003996
UniformRandom,201000,30,42398.19577026702,42389.78387475491,42430.221559206446
UniformRandom,201600,30,42397.56785938703,42389.7423879471,42429.06572596487
UniformRandom,202200,30,42397.3922474648,42389.65258020267,42428.821650257865
UniformRandom,202800,30,42397.338711529155,42389.21567384641,42428.644705330735
UniformRandom,203400,30,42396.89328920498,42389.149559383644,42428.367616872725
UniformRandom,204000,30,42396.365183212896,42389.01817001261,42428.244722413445
UniformRandom,204600,30,42395.83344812083,42388.626753045566,42427.89724826109
