seed,checkpoint,action,repeat,checkpoint_nfe,start_iteration,end_iteration,start_nfe,end_nfe,before_cost,after_cost,before_cv,after_cv,feasible_after,cost_reward,gap_reward
310027,40pct,A1,3,120600,200,220,120600,132600,42492.82177094386,42439.14127998249,0.0,0.0,True,53.680490961371106,0.0012673434871923305
310027,40pct,A2,1,120600,200,220,120600,132600,42492.82177094386,42440.3233441006,0.0,0.0,True,52.49842684325995,0.0012394361183381605
310027,40pct,A2,2,120600,200,220,120600,132600,42492.82177094386,42435.831543256034,0.0,0.0,True,56.99022768782743,0.001345483109417733
310027,40pct,A2,3,120600,200,220,120600,132600,42492.82177094386,42441.316631140115,0.0,0.0,True,51.505139803746715,0.0012159855902618521
310027,40pct,A3,1,120600,200,220,120600,132600,42492.82177094386,42443.78054511569,0.0,0.0,True,49.04122582817217,0.0011578150095904937
310027,40pct,A3,2,120600,200,220,120600,132600,42492.82177094386,42454.89632169232,0.0,0.0,True,37.92544925153925,0.0008953824796865055
310027,40pct,A3,3,120600,200,220,120600,132600,42492.82177094386,42448.9481801058,0.0,0.0,True,43.87359083806223,0.0010358122403979417
310027,40pct,A4,1,120600,200,220,120600,132600,42492.82177094386,42442.37294752783,0.0,0.0,True,50.44882341603079,0.0011910470013925803
310027,40pct,A4,2,120600,200,220,120600,132600,42492.82177094386,42436.86559886288,0.0,0.0,True,55.95617208097974,0.0013210700756458144
310027,40pct,A4,3,120600,200,220,120600,132600,42492.82177094386,42449.050688436,0.0,0.0,True,43.77108250786114,0.0010333921197482106
310027,60pct,A1,1,180600,300,320,180600,192600,42387.488335638096,42381.28967369283,0.0,0.0,True,6.198661945265485,0.0001463442994828842
310027,60pct,A1,2,180600,300,320,180600,192600,42387.488335638096,42381.28967369283,0.0,0.0,True,6.198661945265485,0.0001463442994828842
310027,60pct,A1,3,180600,300,320,180600,192600,42387.488335638096,42381.28967369283,0.0,0.0,True,6.198661945265485,0.0001463442994828842
310027,60pct,A2,1,180600,300,320,180600,192600,42387.488335638096,42383.69922096928,0.0,0.0,True,3.7891146688125446,8.945726299709397e-05
310027,60pct,A2,2,180600,300,320,180600,192600,42387.488335638096,42382.11811598334,0.0,0.0,True,5.370219654752873,0.00012678559346897332
310027,60pct,A2,3,180600,300,320,180600,192600,42387.488335638096,42380.33753968374,0.0,0.0,True,7.150795954359637,0.00016882324506905882
310027,60pct,A3,1,180600,300,320,180600,192600,42387.488335638096,42385.517051292365,0.0,0.0,True,1.9712843457309646,4.654008061819189e-05
310027,60pct,A3,2,180600,300,320,180600,192600,42387.488335638096,42386.66902102847,0.0,0.0,True,0.8193146096236887,1.9343210463840807e-05
310027,60pct,A3,3,180600,300,320,180600,192600,42387.488335638096,42387.15068242344,0.0,0.0,True,0.337653214657621,7.971659626470695e-06
310027,60pct,A4,1,180600,300,320,180600,192600,42387.488335638096,42382.54679940452,0.0,0.0,True,4.941536233578518,0.00011666480038078047
310027,60pct,A4,2,180600,300,320,180600,192600,42387.488335638096,42382.292835305794,0.0,0.0,True,5.19550033230189,0.00012266064245922473
310027,60pct,A4,3,180600,300,320,180600,192600,42387.488335638096,42380.9132400626,0.0,0.0,True,6.57509557549929,0.00015523152650136066
310027,80pct,A1,1,240600,400,420,240600,252600,42373.2306037986,42369.65924249152,0.0,0.0,True,3.571361307076586,8.431632073170202e-05
310027,80pct,A1,2,240600,400,420,240600,252600,42373.2306037986,42369.65924249152,0.0,0.0,True,3.571361307076586,8.431632073170202e-05
310027,80pct,A1,3,240600,400,420,240600,252600,42373.2306037986,42369.65924249152,0.0,0.0,True,3.571361307076586,8.431632073170202e-05
310027,80pct,A2,1,240600,400,420,240600,252600,42373.2306037986,42369.48115655254,0.0,0.0,True,3.749447246060299,8.852075423984476e-05
310027,80pct,A2,2,240600,400,420,240600,252600,42373.2306037986,42369.67334096548,0.0,0.0,True,3.557262833121058,8.398346965625739e-05
310027,80pct,A2,3,240600,400,420,240600,252600,42373.2306037986,42369.89252573666,0.0,0.0,True,3.338078061940905,7.880873322460287e-05
310027,80pct,A3,1,240600,400,420,240600,252600,42373.2306037986,42373.14512314724,0.0,0.0,True,0.08548065135983052,2.0181139337901435e-06
310027,80pct,A3,2,240600,400,420,240600,252600,42373.2306037986,42372.241195038834,0.0,0.0,True,0.9894087597640464,2.335896571363955e-05
310027,80pct,A3,3,240600,400,420,240600,252600,42373.2306037986,42372.96184592832,0.0,0.0,True,0.2687578702752944,6.345108444894443e-06
310027,80pct,A4,1,240600,400,420,240600,252600,42373.2306037986,42369.71685874592,0.0,0.0,True,3.51374505268177,8.295605774870824e-05
310027,80pct,A4,2,240600,400,420,240600,252600,42373.2306037986,42370.40866121957,0.0,0.0,True,2.821942579030292,6.662328314654113e-05
310027,80pct,A4,3,240600,400,420,240600,252600,42373.2306037986,42369.68854259436,0.0,0.0,True,3.5420612042362336,8.362457418013814e-05
310027,90pct,A1,1,270600,450,470,270600,282600,42367.76402949281,42365.63127618017,0.0,0.0,True,2.1327533126459457,5.0352203792524124e-05
310027,90pct,A1,2,270600,450,470,270600,282600,42367.76402949281,42365.63127618017,0.0,0.0,True,2.1327533126459457,5.0352203792524124e-05
310027,90pct,A1,3,270600,450,470,270600,282600,42367.76402949281,42365.63127618017,0.0,0.0,True,2.1327533126459457,5.0352203792524124e-05
310027,90pct,A2,1,270600,450,470,270600,282600,42367.76402949281,42366.08728257866,0.0,0.0,True,1.676746914155956,3.9586342137864654e-05
310027,90pct,A2,2,270600,450,470,270600,282600,42367.76402949281,42365.90952925125,0.0,0.0,True,1.8545002415630734,4.378292301448678e-05
310027,90pct,A2,3,270600,450,470,270600,282600,42367.76402949281,42366.30577836624,0.0,0.0,True,1.458251126576215,3.4427871929993255e-05
310027,90pct,A3,1,270600,450,470,270600,282600,42367.76402949281,42367.5119656897,0.0,0.0,True,0.25206380311283283,5.95097797190155e-06
