ess_capacity_mwh,g2_max_mw,g1_fault_max_mw,no_reserve_cost,dynamic_reserve_cost,cost_increase_pct,no_reserve_pre_soc,dynamic_reserve_pre_soc,no_reserve_shed_mwh,dynamic_reserve_shed_mwh,shed_reduction_mwh
12.0,15.0,2.0,44730.72712701974,44738.47797579145,0.017327795163497986,0.5702641297906836,0.6023549044030165,0.0,1.987456503186088e-13,-1.987456503186088e-13
12.0,15.0,0.0,44730.72712701974,45246.29819381779,1.1526105205802044,0.5702641297906836,0.7207855849699477,2.4836237101526066,6.296766804033712e-13,2.483623710151977
12.0,16.0,6.0,44730.72712701974,44731.19690045164,0.0010502253419024524,0.5702641297906836,0.5655937931052438,1.4531265123942779e-15,1.6420473777562276e-15,-1.8892086536194966e-16
12.0,16.0,2.0,44730.72712701974,44739.30922883854,0.019186144223476774,0.5702641297906836,0.5980032071614717,0.0,2.384690888293837e-13,-2.384690888293837e-13
12.0,16.0,0.0,44730.72712701974,45313.789864145874,1.3034948782979547,0.5702641297906836,0.7735870076058631,1.9275038359361192,5.423491769363679e-13,1.9275038359355767
12.0,17.0,6.0,44730.72712701974,44731.19690045164,0.0010502253419024524,0.5702641297906836,0.5655937931052438,1.4531265123942779e-15,1.6420473777562276e-15,-1.8892086536194966e-16
12.0,17.0,2.0,44730.72712701974,44739.30922883854,0.019186144223476774,0.5702641297906836,0.5980032071614717,0.0,2.384690888293837e-13,-2.384690888293837e-13
12.0,17.0,0.0,44730.72712701974,45243.13815980311,1.145545949495299,0.5702641297906836,0.716590128120688,1.9275038359363026,2.832577729110249e-13,1.9275038359360193
12.0,18.0,6.0,44730.72712701974,44731.19690045164,0.0010502253419024524,0.5702641297906836,0.5655937931052438,1.4531265123942779e-15,1.6420473777562276e-15,-1.8892086536194966e-16
12.0,18.0,2.0,44730.72712701974,44739.30922883854,0.019186144223476774,0.5702641297906836,0.5980032071614717,0.0,2.384690888293837e-13,-2.384690888293837e-13
12.0,18.0,0.0,44730.72712701974,45243.13815980311,1.145545949495299,0.5702641297906836,0.716590128120688,1.9275038359365224,7.412129911975411e-13,1.9275038359357812
12.0,19.0,6.0,44730.72712701974,44731.19690045164,0.0010502253419024524,0.5702641297906836,0.5655937931052438,1.4531265123942779e-15,1.6420473777562276e-15,-1.8892086536194966e-16
12.0,19.0,2.0,44730.72712701974,44739.30922883854,0.019186144223476774,0.5702641297906836,0.5980032071614717,0.0,2.384690888293837e-13,-2.384690888293837e-13
12.0,19.0,0.0,44730.72712701974,45243.13815980311,1.145545949495299,0.5702641297906836,0.716590128120688,1.9275038359360204,5.115123633819881e-13,1.9275038359355088
12.0,20.0,6.0,44730.72712701974,44731.19690045164,0.0010502253419024524,0.5702641297906836,0.5655937931052438,1.4531265123942779e-15,1.6420473777562276e-15,-1.8892086536194966e-16
12.0,20.0,2.0,44730.72712701974,44739.30922883854,0.019186144223476774,0.5702641297906836,0.5980032071614717,0.0,2.384690888293837e-13,-2.384690888293837e-13
12.0,20.0,0.0,44730.72712701974,45243.13815980311,1.145545949495299,0.5702641297906836,0.716590128120688,1.9275038359366587,5.115123633819881e-13,1.9275038359361472
14.0,15.0,6.0,44649.249363037285,44649.12177001927,-0.00028576744252800543,0.5491450827787713,0.5371242612602649,4.264405372401904e-16,1.8924398990248145e-15,-1.4659993617846241e-15
14.0,15.0,2.0,44649.249363037285,44656.9474263598,0.01724119314957704,0.5491450827787713,0.5824938817823285,2.2002343686386317e-14,1.0733576127252672e-12,-1.0513552690388809e-12
14.0,15.0,0.0,44649.249363037285,45126.04952761312,1.067879463547155,0.5491450827787713,0.5916033374791684,1.9895380736718493,9.17879678634476e-13,1.9895380736709314
14.0,16.0,6.0,44649.249363037285,44649.12177001927,-0.00028576744252800543,0.5491450827787713,0.5371242612602649,4.264405372401904e-16,1.8924398990248145e-15,-1.4659993617846241e-15
14.0,16.0,2.0,44649.249363037285,44657.00779534961,0.0173764003270022,0.5491450827787713,0.5773443195029001,2.2002343686386317e-14,0.0,2.2002343686386317e-14
14.0,16.0,0.0,44649.249363037285,45059.71323543151,0.9193074424539536,0.5491450827787713,0.6363520240434816,1.3455740160061622,0.0,1.3455740160061622
14.0,17.0,6.0,44649.249363037285,44649.12177001927,-0.00028576744252800543,0.5491450827787713,0.5371242612602649,4.264405372401904e-16,1.8924398990248145e-15,-1.4659993617846241e-15
14.0,17.0,2.0,44649.249363037285,44657.00779534961,0.0173764003270022,0.5491450827787713,0.5773443195029001,2.2002343686386317e-14,0.0,2.2002343686386317e-14
14.0,17.0,0.0,44649.249363037285,45076.47923553389,0.9568579059926657,0.5491450827787713,0.7052201122377235,1.3455740160061977,0.0,1.3455740160061977
14.0,18.0,6.0,44649.249363037285,44649.12177001927,-0.00028576744252800543,0.5491450827787713,0.5371242612602649,4.264405372401904e-16,1.8924398990248145e-15,-1.4659993617846241e-15
14.0,18.0,2.0,44649.249363037285,44657.00779534961,0.0173764003270022,0.5491450827787713,0.5773443195029001,2.2002343686386317e-14,0.0,2.2002343686386317e-14
14.0,18.0,0.0,44649.249363037285,45174.05941428049,1.1754062133856804,0.5491450827787713,0.7344985988738968,1.3455740160061898,0.0,1.3455740160061898
14.0,19.0,6.0,44649.249363037285,44649.12177001927,-0.00028576744252800543,0.5491450827787713,0.5371242612602649,4.264405372401904e-16,1.8924398990248145e-15,-1.4659993617846241e-15
14.0,19.0,2.0,44649.249363037285,44657.00779534961,0.0173764003270022,0.5491450827787713,0.5773443195029001,2.2002343686386317e-14,0.0,2.2002343686386317e-14
14.0,19.0,0.0,44649.249363037285,45174.05941428049,1.1754062133856804,0.5491450827787713,0.7344985988738968,1.3455740160059604,0.0,1.3455740160059604
14.0,20.0,6.0,44649.249363037285,44649.12177001927,-0.00028576744252800543,0.5491450827787713,0.5371242612602649,4.264405372401904e-16,1.8924398990248145e-15,-1.4659993617846241e-15
14.0,20.0,2.0,44649.249363037285,44657.00779534961,0.0173764003270022,0.5491450827787713,0.5773443195029001,2.2002343686386317e-14,0.0,2.2002343686386317e-14
14.0,20.0,0.0,44649.249363037285,45174.05941428049,1.1754062133856804,0.5491450827787713,0.7344985988738968,1.3455740160065173,0.0,1.3455740160065173
16.0,15.0,6.0,44567.71612329954,44567.81140128734,0.00021378252261191903,0.5168740566551948,0.513668941404303,4.989187377867971e-16,2.399580812100389e-16,2.5896065657675827e-16
16.0,15.0,2.0,44567.71612329954,44574.38324957799,0.014959542149313039,0.5168740566551948,0.5382705111458869,0.0,0.0,0.0
16.0,15.0,0.0,44567.71612329954,45111.21635153408,1.2194931118545724,0.5168740566551948,0.6123651467633325,1.9700569691656864,0.0,1.9700569691656864
16.0,16.0,6.0,44567.71612329954,44567.81140128734,0.00021378252261191903,0.5168740566551948,0.513668941404303,4.989187377867971e-16,2.399580812100389e-16,2.5896065657675827e-16
16.0,16.0,2.0,44567.71612329954,44574.59731082015,0.015439847762382759,0.5168740566551948,0.5495892455325416,0.0,0.0,0.0
16.0,16.0,0.0,44567.71612329954,45102.23765625579,1.1993469251990827,0.5168740566551948,0.6761943061916655,1.4707423624805662,0.0,1.4707423624805662
16.0,17.0,6.0,44567.71612329954,44567.81140128734,0.00021378252261191903,0.5168740566551948,0.513668941404303,4.989187377867971e-16,2.399580812100389e-16,2.5896065657675827e-16
16.0,17.0,2.0,44567.71612329954,44574.59731082015,0.015439847762382759,0.5168740566551948,0.5495892455325416,0.0,0.0,0.0
16.0,17.0,0.0,44567.71612329954,45067.862179543125,1.122216033821197,0.5168740566551948,0.5957695552683747,1.4707423624807114,0.0,1.4707423624807114
16.0,18.0,6.0,44567.71612329954,44567.81140128734,0.00021378252261191903,0.5168740566551948,0.513668941404303,4.989187377867971e-16,2.399580812100389e-16,2.5896065657675827e-16
16.0,18.0,2.0,44567.71612329954,44574.59731082015,0.015439847762382759,0.5168740566551948,0.5495892455325416,0.0,0.0,0.0
