ess_capacity_mwh,ess_power_max_mw,g2_max_mw,g2_ramp_mw_per_h,g1_fault_max_mw,strategy,seed,normal_cost,normal_cv_base,normal_cv_res,reserve_energy_max_mwh,reserve_power_max_mw,fault_pre_soc,fault_end_soc,fault_ess_output_mwh,fault_g2_max_mw,shed_energy_mwh,load_retention
12.0,3.0,20.0,3.0,6.0,dynamic_reserve,20260826,44731.19690045164,0.0,0.0,0.0,0.0,0.5655937931052438,0.20000000000000026,4.1677692413997764,9.929167343463691,1.6420473777562276e-15,0.9999999999999999
12.0,3.0,20.0,3.0,6.0,no_reserve,20260826,44730.72712701974,0.0,0.0,0.0,0.0,0.5702641297906836,0.19999999999994267,4.221011079614447,9.92540527990271,1.4531265123942779e-15,0.9999999999999999
12.0,3.0,20.0,3.0,2.0,dynamic_reserve,20260826,44739.30922883854,0.0,0.0,2.3176659108819133,2.2017826153378177,0.5980032071614717,0.2000000000000001,4.537236561640775,13.482550764621,2.384690888293837e-13,0.9999999999999808
12.0,3.0,20.0,3.0,2.0,no_reserve,20260826,44730.72712701974,0.0,0.0,2.373212750702554,2.254552113167426,0.5702641297906836,0.19999999999999307,4.221011079613873,13.653892292191323,0.0,1.0
12.0,3.0,20.0,3.0,0.0,dynamic_reserve,20260826,45243.13815980311,0.0,0.0,3.9413495072619775,2.933551313185502,0.716590128120688,0.20000000000000107,5.889127460575831,15.103719206768801,5.115123633819881e-13,0.9999999999999587
12.0,3.0,20.0,3.0,0.0,no_reserve,20260826,44730.72712701974,0.0,0.0,6.4721209637368,4.254552113167426,0.5702641297906836,0.19999999999999343,4.221011079613868,15.444763321638506,1.9275038359366587,0.8445561422631727
14.0,3.0,15.0,3.0,6.0,dynamic_reserve,20260826,44649.12177001927,0.0,0.0,0.0,0.0,0.5371242612602649,0.2000000000000209,4.483752674761245,9.87211218640527,1.8924398990248145e-15,0.9999999999999999
14.0,3.0,15.0,3.0,6.0,no_reserve,20260826,44649.249363037285,0.0,0.0,0.0,0.0,0.5491450827787713,0.1999999999999925,4.643629600957757,9.850599876731755,4.264405372401904e-16,1.0
14.0,3.0,15.0,3.0,2.0,dynamic_reserve,20260826,44656.9474263598,0.0,0.0,2.2744524389876433,2.160729817038261,0.5824938817823285,0.20000000000000323,5.0871686277049255,13.325401282864608,1.0733576127252672e-12,0.9999999999999134
14.0,3.0,15.0,3.0,2.0,no_reserve,20260826,44649.249363037285,0.0,0.0,2.4241722203229723,2.3029636093068238,0.5491450827787713,0.20000000000000004,4.643629600957657,13.489789538404219,2.2002343686386317e-14,0.9999999999999982
14.0,3.0,15.0,3.0,0.0,dynamic_reserve,20260826,45126.04952761312,0.0,0.0,4.683026022337765,2.9516882348145277,0.5916033374791684,0.2000000000000026,5.208324388472905,14.99999999999978,9.17879678634476e-13,0.999999999999926
14.0,3.0,15.0,3.0,0.0,no_reserve,20260826,44649.249363037285,0.0,0.0,6.512477771355059,4.302963609306824,0.5491450827787713,0.1999999999999988,4.643629600957713,15.0,1.9895380736718493,0.839553381155496
14.0,3.0,16.0,3.0,6.0,dynamic_reserve,20260826,44649.12177001927,0.0,0.0,0.0,0.0,0.5371242612602649,0.2000000000000209,4.483752674761245,9.87211218640527,1.8924398990248145e-15,0.9999999999999999
14.0,3.0,16.0,3.0,6.0,no_reserve,20260826,44649.249363037285,0.0,0.0,0.0,0.0,0.5491450827787713,0.1999999999999925,4.643629600957757,9.850599876731755,4.264405372401904e-16,1.0
14.0,3.0,16.0,3.0,2.0,dynamic_reserve,20260826,44657.00779534961,0.0,0.0,2.292406205289285,2.1777858950248206,0.5773443195029001,0.1999999999999989,5.018679449388586,13.352764310153155,0.0,1.0
14.0,3.0,16.0,3.0,2.0,no_reserve,20260826,44649.249363037285,0.0,0.0,2.4241722203229723,2.3029636093068238,0.5491450827787713,0.20000000000000004,4.643629600957657,13.489789538404219,2.2002343686386317e-14,0.9999999999999982
14.0,3.0,16.0,3.0,0.0,dynamic_reserve,20260826,45059.71323543151,0.0,0.0,4.2372607202888615,2.9849850948253778,0.6363520240434816,0.20000000000000126,5.803481919778287,15.159529261300897,0.0,1.0
14.0,3.0,16.0,3.0,0.0,no_reserve,20260826,44649.249363037285,0.0,0.0,6.304424859961752,4.302963609306824,0.5491450827787713,0.2000000000000026,4.6436296009576346,15.446313791842204,1.3455740160061622,0.891485966451116
14.0,3.0,17.0,3.0,6.0,dynamic_reserve,20260826,44649.12177001927,0.0,0.0,0.0,0.0,0.5371242612602649,0.2000000000000209,4.483752674761245,9.87211218640527,1.8924398990248145e-15,0.9999999999999999
14.0,3.0,17.0,3.0,6.0,no_reserve,20260826,44649.249363037285,0.0,0.0,0.0,0.0,0.5491450827787713,0.1999999999999925,4.643629600957757,9.850599876731755,4.264405372401904e-16,1.0
14.0,3.0,17.0,3.0,2.0,dynamic_reserve,20260826,44657.00779534961,0.0,0.0,2.292406205289285,2.1777858950248206,0.5773443195029001,0.1999999999999989,5.018679449388586,13.352764310153155,0.0,1.0
14.0,3.0,17.0,3.0,2.0,no_reserve,20260826,44649.249363037285,0.0,0.0,2.4241722203229723,2.3029636093068238,0.5491450827787713,0.20000000000000004,4.643629600957657,13.489789538404219,2.2002343686386317e-14,0.9999999999999982
14.0,3.0,17.0,3.0,0.0,dynamic_reserve,20260826,45076.47923553389,0.0,0.0,3.924291638688677,2.9926337118473256,0.7052201122377235,0.1999999999999989,6.719427492761737,14.829786347108115,0.0,1.0
14.0,3.0,17.0,3.0,0.0,no_reserve,20260826,44649.249363037285,0.0,0.0,6.304424859961752,4.302963609306824,0.5491450827787713,0.20000000000000145,4.6436296009576425,15.446313791842178,1.3455740160061977,0.8914859664511131
14.0,3.0,18.0,3.0,6.0,dynamic_reserve,20260826,44649.12177001927,0.0,0.0,0.0,0.0,0.5371242612602649,0.2000000000000209,4.483752674761245,9.87211218640527,1.8924398990248145e-15,0.9999999999999999
