iteration,population,epsilon,feasible_ratio,best_cost,minimum_cv
100,481,0.0,1.0,42381.70727353881,0.0
101,480,0.0,1.0,42381.70727353881,0.0
102,478,0.0,1.0,42381.52986877947,0.0
103,477,0.0,1.0,42379.273275694424,0.0
104,476,0.0,1.0,42379.273275694424,0.0
105,475,0.0,1.0,42376.909849147225,0.0
106,474,0.0,1.0,42376.909849147225,0.0
107,472,0.0,1.0,42376.909849147225,0.0
108,471,0.0,1.0,42375.942341744136,0.0
109,470,0.0,1.0,42373.553073698284,0.0
110,469,0.0,1.0,42373.553073698284,0.0
111,468,0.0,1.0,42373.553073698284,0.0
112,466,0.0,1.0,42373.334066211806,0.0
113,465,0.0,1.0,42373.334066211806,0.0
114,464,0.0,1.0,42371.969041813616,0.0
115,463,0.0,1.0,42371.51924877199,0.0
116,462,0.0,1.0,42371.03896443348,0.0
117,461,0.0,1.0,42370.72862811142,0.0
118,459,0.0,1.0,42369.425728508926,0.0
119,458,0.0,1.0,42368.81856352298,0.0
120,457,0.0,1.0,42368.81856352298,0.0
121,456,0.0,1.0,42368.81856352298,0.0
122,455,0.0,1.0,42368.40799793785,0.0
123,453,0.0,1.0,42367.151689059756,0.0
124,452,0.0,1.0,42367.151689059756,0.0
125,451,0.0,1.0,42367.151689059756,0.0
126,450,0.0,1.0,42367.151689059756,0.0
127,449,0.0,1.0,42366.58635841666,0.0
128,447,0.0,1.0,42365.85782636145,0.0
129,446,0.0,1.0,42365.85782636145,0.0
